time_fs,population_up,population_down,norm,max_rank
188.0,0.7469216943051639,0.2530783056949979,1.0000000000000804,30.0
190.0,0.7441846790530442,0.25581532094711557,1.000000000000081,30.0
192.0,0.7414758270349125,0.2585241729652475,1.0000000000000802,30.0
194.0,0.7387951930016639,0.26120480699850096,1.0000000000000822,30.0
196.0,0.7361428131482172,0.2638571868519473,1.0000000000000828,30.0
198.0,0.7335187059164864,0.26648129408368015,1.0000000000000844,30.0
200.0,0.7309228727758061,0.26907712722436156,1.0000000000000848,30.0
202.0,0.7283552989808885,0.27164470101927896,1.0000000000000848,30.0
204.0,0.7258159543074328,0.27418404569273014,1.0000000000000817,30.0
206.0,0.7233047937654654,0.2766952062346944,1.000000000000079,30.0
208.0,0.7208217582906378,0.279178241709519,1.0000000000000782,30.0
210.0,0.7183667754136575,0.2816332245864964,1.000000000000077,30.0
212.0,0.7159397599081012,0.28406024009205516,1.0000000000000775,30.0
214.0,0.7135406144168372,0.28645938558332257,1.0000000000000788,30.0
216.0,0.7111692300573865,0.28883076994276874,1.000000000000077,30.0
218.0,0.7088254870065602,0.2911745129935943,1.0000000000000764,30.0
220.0,0.7065092550645985,0.2934907449355499,1.0000000000000748,30.0
222.0,0.7042203941993082,0.2957796058008374,1.0000000000000728,30.0
224.0,0.7019587550704827,0.29804124492966205,1.000000000000073,30.0
226.0,0.699724179535064,0.30027582046507595,1.000000000000069,30.0
228.0,0.697516501133447,0.3024834988666935,1.0000000000000697,30.0
230.0,0.69533554555732,0.30466445444282053,1.0000000000000704,30.0
232.0,0.6931811310995986,0.3068188689005399,1.0000000000000693,30.0
234.0,0.6910530690867817,0.3089469309133524,1.0000000000000668,30.0
236.0,0.6889511642943452,0.3110488357057844,1.000000000000065,30.0
238.0,0.6868752153455617,0.31312478465456567,1.0000000000000633,30.0
240.0,0.684825015094295,0.31517498490583334,1.0000000000000633,30.0
242.0,0.6828003509922936,0.3171996490078404,1.0000000000000662,30.0
244.0,0.6808010054414528,0.31919899455868084,1.000000000000067,30.0
246.0,0.6788267561316395,0.32117324386849666,1.0000000000000677,30.0
248.0,0.6768773763645481,0.32312262363558875,1.0000000000000684,30.0
250.0,0.6749526353641628,0.3250473646359764,1.0000000000000697,30.0
252.0,0.6730522985743489,0.32694770142579077,1.0000000000000686,30.0
254.0,0.6711761279441206,0.3288238720560158,1.000000000000068,30.0
256.0,0.6693238822011172,0.33067611779901535,1.000000000000066,30.0
258.0,0.6674953171138251,0.3325046828863125,1.0000000000000684,30.0
260.0,0.665690185743079,0.3343098142570617,1.0000000000000708,30.0
262.0,0.6639082386833743,0.33609176131676555,1.00000000000007,30.0
264.0,0.6621492242945183,0.3378507757056265,1.0000000000000726,30.0
266.0,0.6604128889240981,0.33958711107604433,1.000000000000072,30.0
268.0,0.6586989771213246,0.3413010228788184,1.0000000000000713,30.0
270.0,0.6570072318426787,0.3429927681574679,1.0000000000000735,30.0
272.0,0.6553373946498936,0.3446626053502544,1.0000000000000733,30.0
274.0,0.6536892059007091,0.3463107940994366,1.0000000000000726,30.0
276.0,0.6520624049328327,0.34793759506730737,1.0000000000000704,30.0
278.0,0.6504567302416023,0.3495432697585376,1.0000000000000697,30.0
280.0,0.6488719196516404,0.3511280803485028,1.000000000000071,30.0
282.0,0.6473077104830258,0.3526922895171104,1.0000000000000682,30.0
284.0,0.6457638397122826,0.35423616028784727,1.0000000000000653,30.0
286.0,0.6442400441285336,0.3557599558716006,1.0000000000000666,30.0
288.0,0.6427360604851448,0.3572639395149864,1.000000000000065,30.0
290.0,0.64125162564723,0.3587483743528973,1.0000000000000624,30.0
292.0,0.6397864767351831,0.3602135232649394,1.000000000000061,30.0
294.0,0.6383403512645854,0.36165964873553225,1.000000000000058,30.0
296.0,0.6369129872826792,0.3630870127174393,1.0000000000000597,30.0
298.0,0.635504123501611,0.3644958764985108,1.0000000000000626,30.0
300.0,0.6341134994286451,0.36588650057148425,1.0000000000000635,30.0
302.0,0.6327408554934696,0.36725914450665775,1.0000000000000633,30.0
304.0,0.6313859331727801,0.36861406682734243,1.0000000000000613,30.0
306.0,0.6300484751121791,0.3699515248879367,1.0000000000000588,30.0
308.0,0.6287282252455287,0.37127177475457934,1.0000000000000535,30.0
310.0,0.6274249289118023,0.3725750710883067,1.0000000000000548,30.0
312.0,0.6261383329694518,0.37386166703065477,1.000000000000054,30.0
314.0,0.624868185908347,0.3751318140917555,1.0000000000000517,30.0
316.0,0.6236142379592654,0.3763857620408368,1.00000000000005,30.0
318.0,0.6223762412008901,0.3776237587992143,1.0000000000000513,30.0
320.0,0.6211539496643114,0.3788460503357927,1.0000000000000513,30.0
322.0,0.6199471194349724,0.3800528805651324,1.0000000000000533,30.0
324.0,0.6187555087519663,0.38124449124814147,1.0000000000000533,30.0
326.0,0.6175788781045974,0.3824211218955035,1.0000000000000504,30.0
328.0,0.6164169903261923,0.38358300967390885,1.0000000000000495,30.0
330.0,0.6152696106849052,0.384730389315192,1.0000000000000482,30.0
332.0,0.6141365069715649,0.3858634930285349,1.0000000000000497,30.0
334.0,0.6130174495843059,0.38698255041579765,1.0000000000000506,30.0
336.0,0.6119122116099419,0.38808778839014946,1.0000000000000455,30.0
338.0,0.6108205689019482,0.38917943109813863,1.0000000000000433,30.0
340.0,0.6097423001548289,0.39025769984525155,1.0000000000000393,30.0
342.0,0.6086771869748386,0.3913228130252382,1.000000000000038,30.0
344.0,0.6076250139468777,0.39237498605319854,1.0000000000000373,30.0
346.0,0.6065855686974065,0.39341443130267273,1.0000000000000384,30.0
348.0,0.6055586419532747,0.39444135804679875,1.0000000000000362,30.0
350.0,0.6045440275963568,0.39545597240371716,1.0000000000000362,30.0
352.0,0.603541522713794,0.39645847728627565,1.000000000000035,30.0
354.0,0.6025509276438294,0.39744907235623544,1.0000000000000338,30.0
356.0,0.6015720460170647,0.39842795398300473,1.0000000000000344,30.0
358.0,0.6006046847930133,0.3993953152070528,1.0000000000000322,30.0
360.0,0.5996486542919736,0.40035134570808195,1.0000000000000269,30.0
362.0,0.5987037682220206,0.4012962317780351,1.0000000000000284,30.0
364.0,0.5977698437011013,0.4022301562989508,1.0000000000000262,30.0
366.0,0.5968467012742151,0.40315329872582945,1.0000000000000226,30.0
368.0,0.5959341649255694,0.40406583507447275,1.0000000000000207,30.0
370.0,0.5950320620857218,0.404967937914317,1.0000000000000189,30.0
372.0,0.5941402236337002,0.4058597763663407,1.0000000000000207,30.0
374.0,0.5932584838940771,0.40674151610596576,1.0000000000000215,30.0
376.0,0.5923866806290313,0.40761331937100415,1.0000000000000175,30.0
378.0,0.5915246550254322,0.4084753449746034,1.0000000000000175,30.0
380.0,0.5906722516769519,0.40932774832307967,1.0000000000000162,30.0
382.0,0.589829318561333,0.41017068143870417,1.0000000000000187,30.0
384.0,0.5889957070128188,0.41100429298721636,1.000000000000018,30.0
386.0,0.5881712716899075,0.41182872831012496,1.0000000000000153,30.0
388.0,0.5873558705384564,0.4126441294615647,1.0000000000000104,30.0
390.0,0.5865493647503581,0.41345063524965686,1.0000000000000073,30.0
392.0,0.5857516187178048,0.4142483812822049,1.000000000000005,30.0
394.0,0.5849624999834173,0.41503750001658457,1.000000000000001,30.0
396.0,0.5841818791863117,0.41581812081368896,1.0,30.0
398.0,0.5834096300043388,0.41659036999566185,1.0000000000000002,30.0
400.0,0.5826456290926413,0.4173543709073556,0.9999999999999996,30.0
402.0,0.5818897560188017,0.418110243981184,0.9999999999999929,30.0
