time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,population_site_8,population_site_9,population_site_10,population_site_11,trace,max_rank,mean_rank
573.0,0.09143987235702118,0.09082936725100181,0.08962016142082804,0.09092172353029203,0.0917638766164101,0.09309595163833397,0.09384920442875018,0.09219174903187548,0.09001940530013726,0.08812020421357103,0.08836736959644323,1.000218878398249,62,32.861111111111114
574.0,0.09147704684105362,0.09084908883519327,0.08966248935313303,0.0909200357865321,0.09174617858771024,0.09306507116862701,0.09381691181457075,0.09216566121317948,0.08999391932334978,0.08810784187406792,0.08841502401942725,1.0002192618304222,62,32.833333333333336
575.0,0.09151318975289166,0.09086680140328778,0.0897039357624003,0.09092017387294953,0.09172635269073147,0.09303997334086765,0.09378396831110279,0.09213557449482744,0.08997517083979746,0.08809488038149153,0.08845963139977898,1.0002196452637067,62,32.833333333333336
576.0,0.09154519997990918,0.09088712830253484,0.08974184796396262,0.09092198428615167,0.09170622835034027,0.09301717139151501,0.09375094157680247,0.09210267062416284,0.0899578559146028,0.08808995344470388,0.08849905384687727,1.0002200286951406,62,32.80555555555556
577.0,0.09157428255767992,0.09090757802282531,0.08978047811275845,0.09092289186396571,0.09168177672570448,0.09299891107472738,0.09371732288994936,0.09207081790456867,0.08994039409281926,0.08808649984466939,0.08853946602257144,1.0002204121258114,62,32.80555555555556
578.0,0.09160314465011081,0.09093242368303868,0.08981526823396381,0.09092675762390912,0.09166194872856245,0.09298226137992399,0.09368199456098536,0.09203537495718397,0.08992283117185097,0.08808469009921507,0.08857410745269238,1.0002207955550022,62,32.80555555555556
579.0,0.09162565207784493,0.0909558881656963,0.08984577602501498,0.09093145938987651,0.09164473951809267,0.09296962662738953,0.09364839122591481,0.09199996296255206,0.0899071184268231,0.08808515618564544,0.08860741536507823,1.000221178983493,62,32.75
580.0,0.09164540276822267,0.09098673729868866,0.08986918829265686,0.09093700401165451,0.09162484612008832,0.09295408587220391,0.09361500676578034,0.0919646243760103,0.0898945071502362,0.08808909606921633,0.0886410706717713,1.0002215624100974,62,32.75
581.0,0.09166372438281742,0.09101983855815368,0.08989091401704277,0.09093699240494453,0.09161116768150905,0.09293817004810193,0.09358176382272484,0.0919333016650045,0.08987685097804488,0.08809745503003166,0.08867177423289119,1.0002219458348267,62,32.75
582.0,0.09167808517706053,0.0910549401955576,0.08991109585459403,0.09093634683379291,0.09160200296585339,0.0929211126234712,0.09354848830000098,0.09189987956621067,0.08985889008294315,0.0881132596083893,0.08869823503613411,1.0002223292575663,62,32.75
583.0,0.09169182939422021,0.09109280376049918,0.08992643926206609,0.0909305293722873,0.0915971680821185,0.09290072372938983,0.09351809972027166,0.09186743046218648,0.0898374101185222,0.08813648225740225,0.08872380350636834,1.00022271267889,62,32.75
584.0,0.09169953060884484,0.09113540087322598,0.0899418876324274,0.09092068993329376,0.09159735876546944,0.09288119117241447,0.09348986280651417,0.09183577991716019,0.08981737298235772,0.08816373135427387,0.08874029703988466,1.000223096099416,62,32.75
585.0,0.09170999484643107,0.09118218797293808,0.08995611520255746,0.09091073685674782,0.09159895782027351,0.09285819448046122,0.09346057898414528,0.09180327901322359,0.08979415241081769,0.08819752050825563,0.08875176841015522,1.0002234795195535,62,32.75
586.0,0.09171326289244217,0.09122226757732478,0.08996997631898458,0.09090152005599274,0.09160363601821125,0.09283682890269744,0.09343695896772641,0.09177117452542338,0.08976936306410654,0.08823679174506152,0.08876208985824979,1.00022386293977,62,32.75
587.0,0.09171758581071136,0.09126431345230955,0.08998547005764461,0.09088528854711134,0.09160656738369183,0.09281719121473994,0.09341298467369183,0.09173963862421733,0.08974625950065931,0.08828132808544716,0.08876762599673735,1.0002242463605038,62,32.75
588.0,0.09171767940705206,0.09130411413934678,0.09000205676386153,0.09086655083209388,0.09161068923504329,0.09279898588238002,0.0933858438153182,0.09170833511908508,0.08972753884882491,0.08832566998519757,0.08877717274043978,1.0002246297821895,62,32.75
589.0,0.09171833379477241,0.09134161090329379,0.09002060808452739,0.09084529936373312,0.09161025955048753,0.09278345860417696,0.09335560328889216,0.09167813996583579,0.08971284605774206,0.08837525936983129,0.0887836012088149,1.000225013205649,62,32.75
590.0,0.09172081125095022,0.09137868979300123,0.09004174391921435,0.09082333528876999,0.09160649356508842,0.0927745625009836,0.09332253321836613,0.09164522150224588,0.08969704041081442,0.08842551851769898,0.08878945365102475,1.0002253966316996,62,32.75
591.0,0.09172029384656227,0.09141506695653062,0.09006206502387405,0.09079883609699642,0.09159884832132711,0.09277120047845941,0.09328699556263645,0.09161411721770245,0.08968502177869661,0.0884813277854766,0.08879201398017897,1.0002257800619734,62,32.77777777777778
592.0,0.09172128959594521,0.09144948767701444,0.0900827546831492,0.09077395201401296,0.09158886241585763,0.09277266404950932,0.09324873189644034,0.09158491284399425,0.0896738053815734,0.088538130571877,0.08879157935338731,1.0002261634962926,62,32.77777777777778
593.0,0.09172436164923917,0.09148500419604273,0.09010453292825829,0.09074745987707528,0.09157670683191282,0.09277777967199095,0.09320914976136295,0.0915559371411871,0.08966475623061813,0.08859388689273134,0.08878697874116999,1.000226546935116,62,32.77777777777778
594.0,0.09172611991034067,0.09151938273562904,0.09012487938013082,0.09072202537773097,0.09156226366242629,0.0927860285099184,0.09316760204123939,0.09152851141265621,0.0896622152856465,0.08864632221264555,0.08878158683690511,1.000226930378795,62,32.77777777777778
595.0,0.0917332158157338,0.0915535581504394,0.09014470180053473,0.09069847734531186,0.09154529297846763,0.09279665646224564,0.0931263633303822,0.0915017956683535,0.08966014640359712,0.08869393524694448,0.08877317761170632,1.0002273138272448,62,32.75
596.0,0.09173708162016923,0.09158715067373652,0.09016160305190991,0.09067616994683696,0.0915243188206222,0.09280595767472058,0.0930905015875112,0.09147749829019898,0.0896602591178349,0.08874036236565376,0.08876680111731866,1.0002276972800335,62,32.75
597.0,0.091743926789487,0.09162225384002907,0.09018060130347509,0.0906552347808424,0.09150126104608797,0.09281709507398446,0.09305188250095492,0.09145519665349826,0.08966392101644574,0.08877818845741586,0.08875852626348137,1.0002280807392183,62,32.72222222222222
598.0,0.0917534730323047,0.09165737953344921,0.09020257718158842,0.09063768115713264,0.09147505966144846,0.09282342888223229,0.09301522770971833,0.09143114187335419,0.08967114437224356,0.08881091805233948,0.08875043973075201,1.000228464200076,62,32.69444444444444
599.0,0.09176266819856983,0.09169069858484359,0.09022063517619344,0.09062655279667955,0.09144574850101939,0.09282400103834743,0.09298173423088793,0.09141017263930601,0.08968199720457182,0.08884163516789428,0.08874301111162829,1.0002288476634529,62,32.69444444444444
600.0,0.09177320461611874,0.09172609943874561,0.09023693425096332,0.09061739703825168,0.09141444649103375,0.09282094045285029,0.09294968096933981,0.09138877969860068,0.08969598907348712,0.08887011158287061,0.08873565450284429,1.0002292311286154,62,32.69444444444444
601.0,0.09178487937407609,0.09176071632980647,0.09025457350865637,0.09060899850787905,0.09137823861899123,0.09281389183367017,0.09291988708425944,0.09136846223200334,0.0897097875114,0.08890076056190106,0.08872942601897069,1.0002296145951177,62,32.69444444444444
602.0,0.09179627065866308,0.09179383373668112,0.09027147945253843,0.0906050542820539,0.09133770351558819,0.09280195224261195,0.09289185130750383,0.09134560880287378,0.08972705161053757,0.08893307601115216,0.0887261234288473,1.000229998062554,62,32.69444444444444
603.0,0.09180551131176523,0.09182719720284856,0.09028189232976076,0.09060328769855712,0.0912995355877849,0.09278818539714208,0.09286499153577017,0.09132410529483172,0.08974512597435559,0.08896377404522161,0.08872678213909126,1.0002303815306297,62,32.69444444444444
