time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,trace,max_rank,mean_rank
769.0,0.14536297956898805,0.14374329344554082,0.1419538062714301,0.1427315433225169,0.14464382748729382,0.14190185920507875,0.1396646321804041,1.0000019414190504,45,22.958333333333332
770.0,0.14533175586807778,0.14370649971147417,0.14195489078311063,0.14282976163457192,0.14467276698487674,0.14192304260553756,0.1395832264231419,1.0000019439485899,45,22.958333333333332
771.0,0.14530096088441447,0.1436778579054048,0.14195912342835273,0.14292333322900652,0.14469733157862652,0.14194376130111128,0.13949957821343273,1.0000019464781496,45,22.958333333333332
772.0,0.14526930150333656,0.1436520680456051,0.14196031424704225,0.14301898606436309,0.1447171426925381,0.14197024390711568,0.13941389260992207,1.0000019490077217,45,22.958333333333332
773.0,0.14523695733677325,0.14362870220911184,0.14196581500748634,0.14310814292825302,0.14473397177497255,0.1419993345746231,0.13932902776830905,1.0000019515373282,45,22.958333333333332
774.0,0.14521594866399484,0.1436020049408048,0.14197092084045737,0.1431953134672731,0.14474645367401295,0.14203097258544461,0.13924033995715485,1.0000019540669427,45,22.958333333333332
775.0,0.14518738714022544,0.14358038352022953,0.1419853694758214,0.14326901843248552,0.14475700810545072,0.1420640858282255,0.1391587041563274,1.0000019565965639,45,22.958333333333332
776.0,0.1451625153852182,0.1435625781502125,0.1419988610908687,0.143337800234441,0.14476989709731083,0.14208911901071622,0.13908118821962817,1.0000019591261944,45,22.958333333333332
777.0,0.1451309572284957,0.1435447381883989,0.14202105322421218,0.14340311690721244,0.14478598016436145,0.14211171048838805,0.13900440551695697,1.0000019616558247,45,22.958333333333332
778.0,0.14509958346405313,0.14352005393010386,0.14204740642572175,0.14346311540518666,0.1448032450222355,0.14213326562154036,0.1389352943788074,1.0000019641854474,45,22.958333333333332
779.0,0.1450594491952878,0.1434986971929996,0.14207978932675047,0.14351459003753633,0.1448275845907886,0.14214802269116708,0.1388738337427421,1.000001966715074,45,22.958333333333332
780.0,0.14501710586294,0.14347592709368912,0.14212668007252363,0.14356224587072558,0.1448392926382147,0.14216270962780334,0.13881800814100279,1.000001969244695,45,22.958333333333332
781.0,0.1449711824421665,0.1434519305520994,0.14217133300647958,0.1436024559083729,0.14486183886092172,0.14217482475860757,0.13876840630786394,1.0000019717743085,45,22.958333333333332
782.0,0.1449199668707315,0.14343001658880022,0.14222667020878008,0.1436339417321886,0.14488085837200113,0.1421880341145178,0.13872248647909993,1.0000019743039181,45,22.958333333333332
783.0,0.14486670790689987,0.14340914939102448,0.1422849133962285,0.14365900233537518,0.1449019959735769,0.14219481569899606,0.13868539219361115,1.0000019768335087,45,22.958333333333332
784.0,0.14480678272365435,0.1433906151783107,0.14234147195044797,0.1436827488435601,0.14492666803207244,0.1421999225613164,0.13865377013591443,1.0000019793630723,45,22.958333333333332
785.0,0.14474537782479413,0.1433810422891168,0.14240223868694524,0.14369762764838417,0.14495236058313377,0.14220317787525794,0.13862015704719602,1.0000019818926247,45,22.958333333333332
786.0,0.14468222904359876,0.14337149235563817,0.14247635731517266,0.14370212421065684,0.14497412721899527,0.14220538039601893,0.13859027394428247,1.0000019844221604,45,22.958333333333332
787.0,0.1446199447717406,0.14337079880292036,0.1425430088026666,0.1437042427923334,0.14499086374242523,0.14220576083414194,0.1385673672676595,1.0000019869516865,45,22.958333333333332
788.0,0.1445582280586694,0.14337540348218217,0.14261343403727153,0.14369973050591875,0.14500608880687416,0.1421984208990862,0.13855068375339943,1.0000019894811973,45,23.041666666666668
789.0,0.14449590578874902,0.14338296560048944,0.14267970778749067,0.1436915455634056,0.14502566510871956,0.142184333017216,0.13854186920684966,1.0000019920107177,45,23.041666666666668
790.0,0.14443008431025048,0.1433955535258417,0.1427435490730216,0.14368510391013498,0.1450433630335098,0.14216801741702778,0.13853632333265795,1.0000019945402436,45,23.041666666666668
791.0,0.1443589945001687,0.14340950750031367,0.14280489428177215,0.14367712475994907,0.14505864294943635,0.14215214504317725,0.1385406880971651,1.0000019970697809,45,23.041666666666668
792.0,0.1442992973292721,0.14342140369760473,0.14286682970693645,0.14366502165881284,0.14507229389004792,0.14213047466321913,0.13854667871563683,1.0000019995993263,45,23.041666666666668
793.0,0.14423900038815435,0.14343667423806822,0.14292652166228212,0.14365262509158705,0.14508285134538854,0.14210617236562698,0.13855815709997799,1.0000020021288831,45,23.041666666666668
794.0,0.14418043877504075,0.1434480123394996,0.1429852184594682,0.14364439030081244,0.1450859224361643,0.14207965370023004,0.13857836870945486,1.0000020046584657,45,23.041666666666668
795.0,0.144124845960996,0.14345939207742178,0.14304157669853168,0.14363729126103572,0.14508788175811602,0.14205500470628718,0.1385960147878845,1.0000020071880713,45,23.041666666666668
796.0,0.1440783541387195,0.14347191520835617,0.14309744463295596,0.14362718827474777,0.14507893042480224,0.14203050122973382,0.13861767587058274,1.0000020097176934,45,23.041666666666668
797.0,0.14403546502631068,0.14347381064980275,0.14314832139862302,0.14362044035084714,0.14506995815788912,0.14200927264852659,0.13864474407756222,1.0000020122473612,45,23.041666666666668
798.0,0.1439954109860772,0.14347498523322993,0.14319805088008092,0.14361670217393444,0.14505283742070316,0.1419912704653203,0.1386727576799086,1.0000020147770539,45,23.041666666666668
799.0,0.1439625591329609,0.1434738361636305,0.14324524828064078,0.14360874070229726,0.14503439001141458,0.14197278521473078,0.13870445786329488,1.000002017306766,45,23.0
800.0,0.14394060277272167,0.14347190170139823,0.14328555013471056,0.14360452431679888,0.1450134801878854,0.1419473703214845,0.13873859046370132,1.0000020198364972,45,23.0
801.0,0.1439282085899362,0.14346528527691618,0.1433233955568643,0.14359766529241833,0.14499811361364637,0.14191243778822188,0.1387769163104612,1.0000020223662593,45,23.0
802.0,0.14391733655152025,0.14346069930730482,0.14335701166349576,0.14359375487813672,0.14498157733762967,0.1418736474219289,0.1388179977982186,1.000002024896033,45,22.916666666666668
803.0,0.14391351423214055,0.14345594718239937,0.1433883814987025,0.14358248735336349,0.14495916287362134,0.14184118182291933,0.13886135252488982,1.000002027425836,45,23.0
804.0,0.14391832338790836,0.1434496014675045,0.14341851712634074,0.14357204216120237,0.1449292749947172,0.14180663580910302,0.1389076350710649,1.0000020299556376,45,22.916666666666668
805.0,0.14392477474456014,0.14344706989865014,0.14343829137750105,0.14356680408746017,0.1449045625510359,0.14176737171125103,0.13895315817718384,1.0000020324854424,45,22.916666666666668
806.0,0.1439337930193933,0.14344569084141354,0.14345212816559744,0.14356001403671537,0.14488176530261082,0.1417414402197563,0.13898720349195956,1.0000020350152468,45,22.916666666666668
807.0,0.1439648829969291,0.1434485871485763,0.14345701172848704,0.14354262207842156,0.14484710293671327,0.14172652591053006,0.13901530480750654,1.0000020375449605,45,22.958333333333332
808.0,0.14399952472053495,0.14345358937087271,0.14345795802414107,0.14352039469311817,0.14481418146703104,0.14171661999691393,0.13903977186431796,1.0000020400747254,45,22.916666666666668
809.0,0.1440401872941427,0.14345987497138957,0.14344871716255805,0.14350288958792054,0.14478563012013612,0.1417051533549237,0.1390595901756017,1.0000020426044711,45,22.916666666666668
810.0,0.1440869903991078,0.14347307346051974,0.143429218284122,0.14348463351655819,0.14475311592550277,0.1416972164865664,0.13907779712401414,1.0000020451341896,45,22.916666666666668
811.0,0.1441365435697655,0.14348770924152449,0.14340498952701325,0.14346598227274704,0.14472175852409785,0.1416916647030981,0.13909339988783664,1.0000020476638822,45,22.916666666666668
812.0,0.14419992395169143,0.14350256423479385,0.14336977322181552,0.14344257624858,0.1446879004279934,0.1416872715031596,0.13911204066770924,1.0000020501935394,45,22.916666666666668
813.0,0.14426105521402335,0.14351391588772636,0.1433362647729544,0.1434224805531562,0.1446606439096054,0.1416823208137842,0.1391253716334277,1.0000020527224756,44,22.875
814.0,0.1443244323339483,0.14352418882232412,0.14330256032746272,0.1433938247696897,0.14464310779325615,0.1416741523246203,0.13913978894227888,1.000002055251378,44,22.875
815.0,0.14438612676725152,0.14353886782349526,0.1432662014041149,0.14335613239893003,0.14463129731298702,0.14167249934481518,0.13915093279087626,1.0000020577802702,44,22.875
816.0,0.14445398660041725,0.14355548639339813,0.14323287045246336,0.14331129287456368,0.14462013636454646,0.1416682054724476,0.1391600822135027,1.0000020603091404,44,22.833333333333332
817.0,0.14452031962107137,0.1435696495845352,0.14320027871705895,0.14326229210815036,0.1446155660481896,0.14166641613760086,0.13916754068359055,1.000002062837997,44,22.833333333333332
818.0,0.14458495182061296,0.1435880780811915,0.14316866750432403,0.14321325560712736,0.14461068333692,0.1416622164115607,0.13917421266729454,1.000002065366827,44,22.833333333333332
819.0,0.14465104555159647,0.14360053307098064,0.1431397582253148,0.1431672795646084,0.14460643824439465,0.14166177466407384,0.1391752386368892,1.000002067895656,44,22.833333333333332
820.0,0.14471156077138783,0.1436225491137762,0.14310968000514585,0.1431229803911576,0.14460319920303757,0.14166065067648165,0.13917145032562256,1.0000020704244077,44,22.875
821.0,0.14477411375067425,0.1436490441531859,0.14306734828407,0.14308448430263704,0.14459707229082447,0.14166229916115225,0.1391677110728161,1.0000020729531591,44,22.875
822.0,0.14482879217944422,0.14367577004743104,0.1430232773911435,0.14305217069254042,0.14459248624160087,0.14167112164114037,0.1391584573508235,1.0000020754819254,44,22.875
823.0,0.144885620162253,0.14371186432192676,0.14297621053209963,0.14301078438258719,0.14457764077958662,0.1416800632648101,0.13915989462963327,1.0000020780106946,44,22.875
824.0,0.14494408010356996,0.1437527419413617,0.14292039442664536,0.14297201824957503,0.14456029092296235,0.1416883689246224,0.13916418603294511,1.000002080539478,44,22.875
825.0,0.1449930216247558,0.1437976725388071,0.14285810135793553,0.1429334838915879,0.1445469980233778,0.14169878237035752,0.13917402332372614,1.0000020830683465,44,22.833333333333332
826.0,0.14504618278913348,0.14384820124735742,0.14278872557237973,0.14288958431864784,0.14452962779766004,0.14170706747407838,0.13919269646017376,1.0000020855972298,44,22.833333333333332
827.0,0.14509679945358306,0.1439017707337074,0.14270887319292402,0.14285285150237825,0.14451166385952313,0.14171518057429686,0.13921494887191624,1.0000020881261278,44,22.833333333333332
828.0,0.1451468689222168,0.1439551457492715,0.14263116674750756,0.14280974175745656,0.14448914375601407,0.14172208677262307,0.13924793701217308,1.0000020906550622,44,22.833333333333332
829.0,0.14519687665785008,0.1440020785537167,0.1425481423337958,0.14277288445591285,0.14446579119536265,0.14172844976760834,0.13928787028197134,1.000002093184017,44,22.833333333333332
830.0,0.14524434173656178,0.14404794539880808,0.1424798334995148,0.14272994893780352,0.1444405415300911,0.14172662209891188,0.139332862573491,1.0000020957129803,44,22.833333333333332
831.0,0.14528880014190007,0.1440900658926673,0.14241696810407556,0.1426894008059979,0.14441351026077456,0.14172280060898773,0.13938055248978506,1.0000020982419848,44,22.875
832.0,0.1453380136223153,0.14412794594726286,0.1423593010381512,0.1426390792523565,0.14438287573776146,0.14171841240316838,0.1394364728322029,1.0000021007710158,44,22.875
833.0,0.14538242353283873,0.1441642180075545,0.14230932692279552,0.142589701946231,0.14435003183087053,0.1417116037732272,0.13949479734873985,1.000002103300057,44,22.875
834.0,0.14541711360349532,0.1442001240331218,0.14226565018560394,0.14254180502220754,0.14431908669395485,0.14170376786573546,0.1395545584871411,1.0000021058290562,44,22.916666666666668
835.0,0.14545274690452822,0.1442347679253021,0.14222472973023753,0.14249238923048996,0.14428664121170295,0.1416968538628236,0.1396139795551855,1.000002108358067,44,22.916666666666668
