time_fs,correlation_real_fs^-2,correlation_imag_fs^-2,max_rank,mean_rank
28.0,0.0012708208311781118,-0.0005126582668341556,55,29.72222222222222
29.0,0.0012994710490989976,-0.0004407572653736331,56,29.944444444444443
30.0,0.0013433678929167952,-0.000396941057297111,56,30.444444444444443
31.0,0.0013890320481288229,-0.0003831218160004748,57,30.5
32.0,0.0014255628877047012,-0.00039437909583309215,57,30.61111111111111
33.0,0.0014436851216923108,-0.000421570578231891,57,30.333333333333332
34.0,0.0014428939504222426,-0.00045220009162471876,57,30.333333333333332
35.0,0.0014285390005132413,-0.0004775639288951381,58,30.38888888888889
36.0,0.001409739215701634,-0.0004975705281780746,58,31.11111111111111
37.0,0.0013901998986825522,-0.0005147039135446354,58,31.11111111111111
38.0,0.001366756119249246,-0.0005357465572098991,58,31.11111111111111
39.0,0.001334618840475155,-0.0005576325493153682,59,31.166666666666668
40.0,0.0012898546796859633,-0.0005733746582533057,59,31.166666666666668
41.0,0.0012362588994996463,-0.0005741179117331067,59,31.27777777777778
42.0,0.001184700939044087,-0.0005569306770217663,59,31.27777777777778
43.0,0.0011432468681001327,-0.0005221103878434435,60,31.333333333333332
44.0,0.0011198622349179019,-0.00047735443910152124,60,31.333333333333332
45.0,0.001116892572515475,-0.00043244650188921016,60,31.38888888888889
46.0,0.0011307585785244692,-0.0003945457923675063,60,31.11111111111111
47.0,0.0011563777308588544,-0.00036742798661523176,60,31.0
48.0,0.001189742551512532,-0.00035396503837932183,60,31.0
49.0,0.0012274690405849752,-0.00035522280074155665,60,31.0
50.0,0.0012634462332729622,-0.0003734160264234285,60,31.444444444444443
51.0,0.0012908870848780546,-0.0004090985971976269,60,31.444444444444443
52.0,0.0013028857375207827,-0.00045922440314917777,60,31.333333333333332
53.0,0.001293923027075795,-0.0005181080743084836,60,31.22222222222222
54.0,0.0012613139884782142,-0.0005772109019316385,59,30.77777777777778
55.0,0.0012064056904458297,-0.0006273646893736824,58,30.666666666666668
56.0,0.0011323269041239974,-0.0006603359764448225,58,30.444444444444443
57.0,0.0010459912883077239,-0.0006678249847832794,58,30.61111111111111
58.0,0.0009575379447520682,-0.0006453817151475389,58,30.666666666666668
59.0,0.0008796185179284077,-0.0005917409841131802,58,30.72222222222222
60.0,0.0008249211717640706,-0.000512870266659723,58,30.72222222222222
61.0,0.0008032621695974204,-0.00042004116014412947,58,30.72222222222222
62.0,0.0008181211515277152,-0.00032876889590602754,58,30.72222222222222
63.0,0.0008649793273097033,-0.00025323951152642337,58,30.72222222222222
64.0,0.0009343419222113628,-0.00020403436176134892,58,30.72222222222222
65.0,0.0010136901232429734,-0.00018671923472326788,58,30.72222222222222
66.0,0.0010910517263722566,-0.0002008826115265178,58,30.555555555555557
67.0,0.0011571911751166587,-0.00024209788079886067,58,30.166666666666668
68.0,0.001204354668410437,-0.00030464105690039116,56,29.27777777777778
69.0,0.001228217749864165,-0.00038169743492002113,55,28.833333333333332
70.0,0.0012257772349136907,-0.0004652176785825071,54,28.555555555555557
71.0,0.0011963685195000356,-0.0005462936945972151,54,28.88888888888889
72.0,0.0011419403849292074,-0.0006173555530321318,53,28.77777777777778
73.0,0.00106634488343335,-0.0006713288284121641,52,28.444444444444443
74.0,0.0009756998152936501,-0.0007023984208202205,52,28.27777777777778
75.0,0.0008776199212415479,-0.0007075442795800953,52,28.22222222222222
76.0,0.0007803048746478649,-0.0006851811669150606,52,28.166666666666668
77.0,0.000692409380235683,-0.0006351584782964032,52,28.166666666666668
78.0,0.0006231662822050605,-0.0005606440161474774,52,28.166666666666668
79.0,0.0005812087717042522,-0.0004686129680832579,52,28.166666666666668
