time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,trace,max_rank,mean_rank
57.0,0.33980883726260497,0.15451347899605428,0.1758096246107762,0.16895752889623494,0.16091063283814208,1.0000001025485339,38,20.61111111111111
58.0,0.35406689657142254,0.15721253884549652,0.16581719477133433,0.15971403509912968,0.16318943906836691,1.0000001043004703,37,20.555555555555557
59.0,0.36936345076167304,0.15937079553429778,0.1557053368020837,0.15058765091410423,0.16497287209379963,1.0000001060506776,37,20.444444444444443
60.0,0.3852285473074634,0.16102690886651433,0.14566923204406662,0.1418719941225974,0.16620342551635356,1.0000001078017158,36,20.11111111111111
61.0,0.40110084388955114,0.1625181730132524,0.1359651164256358,0.13344848846567015,0.16696748781713167,1.00000010955596,35,19.77777777777778
62.0,0.4159586518554497,0.16397456337932365,0.12667407885768397,0.125607258765954,0.1677855585072129,1.000000111310343,35,19.5
63.0,0.42876889441282395,0.16574487862454268,0.11807779672472589,0.11827905352889517,0.16912948983697462,1.0000001130726834,35,19.444444444444443
64.0,0.4382887412184905,0.16836049687256344,0.11022394498282595,0.11162565184856121,0.17150127997744868,1.0000001148446096,34,19.333333333333332
65.0,0.4437099331719506,0.17221715435603727,0.10314075695820588,0.10544507494039924,0.17548719725647133,1.0000001166277857,35,19.444444444444443
66.0,0.44392539328267067,0.1778788532894766,0.09695896770309442,0.0998410576564438,0.1813958465460793,1.000000118422487,35,19.38888888888889
67.0,0.43865525170950936,0.18535487487536786,0.0914967198088352,0.09488240489645683,0.18961086900322227,1.0000001202381124,35,19.944444444444443
68.0,0.42768320312336316,0.19483917709407172,0.08700109381670351,0.09058267278648656,0.1998939752987968,1.0000001220641408,34,19.88888888888889
69.0,0.41128301173471643,0.20598364339895117,0.08352765428181441,0.08714742768274632,0.2120583868555156,1.000000123898466,34,19.77777777777778
70.0,0.3905355046494734,0.21835111649742323,0.08108091574007435,0.08454608016486341,0.2254865087417851,1.000000125738339,33,19.61111111111111
71.0,0.36651953484618177,0.2312705560207973,0.07982795528215107,0.08309030587768833,0.23929177560926304,1.0000001275808026,33,19.5
72.0,0.34090580356951733,0.2439065008486973,0.07983023130456526,0.08277871693374513,0.2525788768214876,1.0000001294227343,33,19.333333333333332
73.0,0.3154614209754816,0.2551676150513427,0.08129167219561224,0.08377535748619928,0.26430406560768765,1.000000131261045,33,19.166666666666668
